Time,Phrase,Site,Count
2017-03-24.16:25:31,Notre,http://www.cnn.com/,0
2017-03-24.16:25:31,Cub Scouts,http://www.cnn.com/,0
2017-03-24.16:25:31,CSE30341,http://www.cnn.com/,0
2017-03-24.16:25:31,Operating,http://www.cnn.com/,0
2017-03-24.16:25:31,Systems,http://www.cnn.com/,0
2017-03-24.16:25:31,Striegel,http://www.cnn.com/,0
2017-03-24.16:25:31,Thain,http://www.cnn.com/,0
2017-03-24.16:25:31,Notre,http://www.nd.edu/,113
2017-03-24.16:25:31,Cub Scouts,http://www.nd.edu/,0
2017-03-24.16:25:31,CSE30341,http://www.nd.edu/,0
2017-03-24.16:25:31,Operating,http://www.nd.edu/,0
2017-03-24.16:25:31,Systems,http://www.nd.edu/,0
2017-03-24.16:25:31,Striegel,http://www.nd.edu/,0
2017-03-24.16:25:31,Thain,http://www.nd.edu/,0
