Time,Phrase,Site,Count
2017-03-21.23:44:32,Notre,http://www.cnn.com/,0
2017-03-21.23:44:32,Cub Scouts,http://www.cnn.com/,0
2017-03-21.23:44:32,CSE30341,http://www.cnn.com/,0
2017-03-21.23:44:32,Operating,http://www.cnn.com/,0
2017-03-21.23:44:32,Systems,http://www.cnn.com/,0
2017-03-21.23:44:32,Striegel,http://www.cnn.com/,0
2017-03-21.23:44:32,Thain,http://www.cnn.com/,0
2017-03-21.23:44:32,Notre,http://www.nd.edu/,0
2017-03-21.23:44:32,Cub Scouts,http://www.nd.edu/,0
2017-03-21.23:44:32,CSE30341,http://www.nd.edu/,0
2017-03-21.23:44:32,Operating,http://www.nd.edu/,0
2017-03-21.23:44:32,Systems,http://www.nd.edu/,0
2017-03-21.23:44:32,Striegel,http://www.nd.edu/,0
2017-03-21.23:44:32,Thain,http://www.nd.edu/,0
